label,loss_amount,round_number,purchased_coverage,random_number,state,timer_faq_choiceaffectsprice,timer_faq_howitworks,timer_faq_noinsurance,timer_faq_coverage,timer_char7,timer_char4,timer_char3,timer_char2,timer_char1,insurance,WTP,belief,prob,var4,var3,var2,var1,number_entered,result_risk,session.code,treatment,age,gender,smoker,health,exercisedays,exercisehours,insurancehealth,lifeinsurance,riskdriving,riskfinance,risksport,riskjob,riskhealth,risk,final_payoff,HL_switchpoint,HLLF_switchpoint,diff_belief_prob,timer_all_chars
5d3587a13e11900001093ae8,20.0,1.0,1.0,15.0,healthy,2142.0,30241.0,,1097.0,,24862.0,10497.0,29576.0,28098.0,15.0,17.0,59.25,0.3220395695513543,8.0,1.0,7.8731,1.0,50.0,0.0,5hy6vola,varinfo,28.0,1.0,1.0,8.0,6.0,2.0,1.0,0.0,0.0,7.0,6.0,3.0,1.0,4.0,418.0,0.0,2.0,27.046043044864568,93033.0
5bbd1d04df2fb80001733d30,20.0,1.0,0.0,19.0,healthy,192.0,,,86.0,,,,,124.0,19.0,12.0,39.75,0.3220395695513543,8.0,1.0,7.8731,1.0,5.0,57.5,5hy6vola,fullinfo,34.0,1.0,0.0,8.0,7.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,677.5,8.0,8.0,7.546043044864568,
604fa685e33606f9a0ee8189,100.0,1.0,0.0,51.0,healthy,2626.0,76966.0,,1284.0,,11791.0,9404.0,13797.0,12869.0,51.0,45.0,35.0,0.3220395695513543,8.0,1.0,7.8731,1.0,25.0,25.0,5hy6vola,neginfo,26.0,1.0,0.0,7.0,5.0,1.5,1.0,0.0,1.0,7.0,9.0,6.0,5.0,6.0,559.0,4.0,2.0,2.796043044864568,47861.0
54258078fdf99b691fb3858e,40.0,1.0,0.0,4.0,healthy,4846.0,57500.0,,2348.0,9534.0,2650.0,4447.0,12437.0,10243.0,4.0,0.0,50.0,0.3220395695513543,8.0,1.0,7.8731,1.0,50.0,0.0,5hy6vola,baseline,33.0,0.0,0.0,9.0,5.0,1.0,1.0,0.0,7.0,10.0,8.0,6.0,4.0,7.0,513.0,,0.0,17.796043044864568,29777.0
5e2e7ffe484f9b45e086fdc0,20.0,1.0,0.0,13.0,healthy,492.0,1500.0,,740.0,,22741.0,4510.0,8298.0,8292.0,13.0,0.0,35.5,0.3220395695513543,8.0,1.0,7.8731,1.0,15.0,72.5,5hy6vola,posinfo,39.0,1.0,0.0,4.0,0.0,0.5,1.0,0.0,7.0,5.0,5.0,6.0,7.0,5.0,613.5,5.0,3.0,3.296043044864568,43841.0
62b57d34b7bdc2d0835fab76,80.0,1.0,0.0,30.0,healthy,101.0,86.0,,113.0,,,,,62.0,30.0,20.0,60.75,0.2689415536215669,4.0,1.0,2.0,1.0,0.1,49.9,5hy6vola,posinfo,55.0,1.0,0.0,9.0,0.0,0.0,1.0,1.0,6.0,9.0,8.0,5.0,7.0,8.0,519.9,7.0,6.0,33.855844637843305,
6310c063bd0cce86b0289d20,20.0,1.0,0.0,15.0,healthy,68.0,477.0,,1193.0,,92.0,159.0,1727.0,3918.0,15.0,10.0,35.5,0.2689415536215669,4.0,1.0,2.0,1.0,50.0,125.0,5hy6vola,neginfo,25.0,0.0,0.0,8.0,4.0,1.0,1.0,0.0,4.0,8.0,8.0,2.0,7.0,5.0,705.0,5.0,4.0,8.605844637843308,5896.0
5ec79cbd44972a1fceed2719,40.0,1.0,1.0,1.0,healthy,5509.0,34574.0,,1799.0,15851.0,23467.0,16412.0,14992.0,24757.0,1.0,8.0,18.5,0.2689415536215669,4.0,1.0,2.0,1.0,30.0,95.0,5hy6vola,baseline,62.0,0.0,0.0,10.0,2.0,2.0,1.0,0.0,1.0,5.0,7.0,3.0,2.0,4.0,746.0,7.0,7.0,-8.394155362156692,79628.0
5ca9bc7978958e0016c5008b,20.0,1.0,0.0,16.0,healthy,,,,,2583.0,774.0,424.0,1351.0,10655.0,16.0,9.0,50.0,0.2689415536215669,4.0,1.0,2.0,1.0,50.0,125.0,5hy6vola,fullinfo,46.0,0.0,0.0,3.0,4.0,0.5,1.0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,690.0,5.0,5.0,23.105844637843308,13204.0
59c4f0a2916c4d000109428a,20.0,1.0,0.0,12.0,ill,8575.0,2457.0,,2156.0,,,,,,12.0,10.0,55.0,0.2689415536215669,4.0,1.0,2.0,1.0,0.5,49.5,5hy6vola,varinfo,40.0,0.0,1.0,6.0,3.0,1.0,1.0,0.0,6.0,8.0,10.0,8.0,2.0,6.0,506.5,6.0,0.0,28.105844637843308,
62e079d42015639ea995ec87,40.0,1.0,0.0,13.0,healthy,1152.0,30088.0,,743.0,8622.0,26096.0,6140.0,12507.0,9813.0,13.0,0.0,21.5,0.2141651641257343,6.0,0.0,4.0,0.0,10.0,40.0,5hy6vola,fullinfo,22.0,0.0,0.0,7.0,2.0,2.0,1.0,0.0,3.0,3.0,6.0,3.0,3.0,4.0,759.0,6.0,4.0,0.0834835874265707,54556.0
5b258c9ba7cee100011d8aad,40.0,1.0,1.0,4.0,healthy,2181.0,26027.0,,1996.0,,13160.0,7877.0,22335.0,17550.0,4.0,15.0,35.0,0.2141651641257343,6.0,0.0,4.0,0.0,50.0,0.0,5hy6vola,neginfo,28.0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,0.0,7.0,3.0,5.0,3.0,5.0,519.0,8.0,7.0,13.58348358742657,60922.0
62db2644ab0a3a353c0dcb54,100.0,1.0,1.0,29.0,healthy,4678.0,3497.0,,2506.0,,25772.0,8767.0,6825.0,16032.0,29.0,60.0,66.5,0.2141651641257343,6.0,0.0,4.0,0.0,10.0,65.0,5hy6vola,posinfo,42.0,0.0,0.0,6.0,2.0,1.5,-1.0,-1.0,0.0,5.0,6.0,5.0,2.0,6.0,573.0,7.0,5.0,45.08348358742657,57396.0
